,date,gold
325,1987-02-01,401.12
326,1987-03-01,408.91
327,1987-04-01,438.35
328,1987-05-01,460.23
329,1987-06-01,449.59
330,1987-07-01,450.52
331,1987-08-01,461.15
332,1987-09-01,460.38
333,1987-10-01,465.35
334,1987-11-01,467.57
335,1987-12-01,486.24
336,1988-01-01,476.58
337,1988-02-01,442.07
338,1988-03-01,443.61
339,1988-04-01,451.55
340,1988-05-01,451.07
341,1988-06-01,451.33
342,1988-07-01,437.63
343,1988-08-01,431.28
344,1988-09-01,413.46
345,1988-10-01,406.78
346,1988-11-01,420.17
347,1988-12-01,419.05
348,1989-01-01,404.01
349,1989-02-01,387.51
350,1989-03-01,390.15
351,1989-04-01,384.4
352,1989-05-01,371.05
353,1989-06-01,367.6
354,1989-07-01,375.04
355,1989-08-01,365.14
356,1989-09-01,361.75
357,1989-10-01,366.88
358,1989-11-01,394.26
359,1989-12-01,409.39
360,1990-01-01,410.11
361,1990-02-01,416.81
362,1990-03-01,393.06
363,1990-04-01,374.24
364,1990-05-01,369.05
365,1990-06-01,352.33
366,1990-07-01,362.53
367,1990-08-01,394.73
368,1990-09-01,389.32
369,1990-10-01,380.74
370,1990-11-01,381.73
371,1990-12-01,376.95
372,1991-01-01,383.64
373,1991-02-01,363.83
374,1991-03-01,363.34
375,1991-04-01,358.38
376,1991-05-01,356.95
377,1991-06-01,366.72
378,1991-07-01,367.69
379,1991-08-01,356.31
380,1991-09-01,348.74
381,1991-10-01,358.69
382,1991-11-01,360.17
383,1991-12-01,361.73
384,1992-01-01,354.45
385,1992-02-01,353.91
386,1992-03-01,344.34
387,1992-04-01,338.62
388,1992-05-01,337.24
389,1992-06-01,340.81
390,1992-07-01,352.72
391,1992-08-01,343.06
392,1992-09-01,345.43
393,1992-10-01,344.38
394,1992-11-01,335.02
395,1992-12-01,334.82
396,1993-01-01,329.01
397,1993-02-01,329.31
398,1993-03-01,330.08
399,1993-04-01,342.15
400,1993-05-01,367.18
401,1993-06-01,371.89
402,1993-07-01,392.19
403,1993-08-01,378.84
404,1993-09-01,355.28
405,1993-10-01,364.18
406,1993-11-01,373.83
407,1993-12-01,383.3
408,1994-01-01,386.88
409,1994-02-01,381.91
410,1994-03-01,384.13
411,1994-04-01,377.27
412,1994-05-01,381.43
413,1994-06-01,385.64
414,1994-07-01,385.49
415,1994-08-01,380.36
416,1994-09-01,391.58
417,1994-10-01,389.77
418,1994-11-01,384.39
419,1994-12-01,379.29
420,1995-01-01,378.55
421,1995-02-01,376.64
422,1995-03-01,382.12
423,1995-04-01,391.03
